var,adjusted r,adjusted r-squared,r-squared,r,language,dim,window,algo,dataset,data_source
unigram_freq,0,-4.14144171967301e-05,-0.000672069162343636,0,ar,100,1,sg,dedup.arwiki-meta.words.unigrams.tsv,Wikipedia
unigram_freq,0,-3.12888145063366e-05,-0.000792274391366865,0,ar,100,2,cbow,dedup.ar.words.unigrams.tsv,Subtitles
unigram_freq,0,-0.000107214887408648,-0.0017398728377418,0,ar,100,2,cbow,dedup.arwiki-meta.words.unigrams.tsv,Wikipedia
unigram_freq,0,-2.84801388041979e-05,-0.000721154987593731,0,ar,100,2,sg,dedup.ar.words.unigrams.tsv,Subtitles
unigram_freq,0,-6.76276996459601e-05,-0.00109745577817466,0,ar,100,2,sg,dedup.arwiki-meta.words.unigrams.tsv,Wikipedia
unigram_freq,0,-1.76267207995435e-05,-0.000446332010770933,0,ar,100,3,cbow,dedup.ar.words.unigrams.tsv,Subtitles
unigram_freq,0,-4.20645470741271e-05,-0.0006826194072026,0,ar,100,3,cbow,dedup.arwiki-meta.words.unigrams.tsv,Wikipedia
unigram_freq,0,-1.89867049235892e-05,-0.000480768617307392,0,ar,100,3,sg,dedup.ar.words.unigrams.tsv,Subtitles
unigram_freq,0,-3.28928503732706e-05,-0.000533781998970251,0,ar,100,3,sg,dedup.arwiki-meta.words.unigrams.tsv,Wikipedia
unigram_freq,0,-4.78317660382675e-05,-0.00121116392307852,0,ar,100,4,cbow,dedup.ar.words.unigrams.tsv,Subtitles
unigram_freq,0,-6.76903876226159e-05,-0.00109847307260524,0,ar,100,4,cbow,dedup.arwiki-meta.words.unigrams.tsv,Wikipedia
unigram_freq,0,-2.02964044886405e-05,-0.000513931951941382,0,ar,100,4,sg,dedup.ar.words.unigrams.tsv,Subtitles
unigram_freq,0,-4.6669414056958e-05,-0.00075734674384853,0,ar,100,4,sg,dedup.arwiki-meta.words.unigrams.tsv,Wikipedia
unigram_freq,0,-3.93259643578211e-05,-0.000995785713459929,0,ar,100,5,cbow,dedup.ar.words.unigrams.tsv,Subtitles
unigram_freq,0,-7.94619847668969e-05,-0.00128950141412754,0,ar,100,5,cbow,dedup.arwiki-meta.words.unigrams.tsv,Wikipedia
unigram_freq,0,-1.80858569919893e-05,-0.000457957949725918,0,ar,100,5,sg,dedup.ar.words.unigrams.tsv,Subtitles
unigram_freq,0,-3.60397266158869e-05,-0.000584849202700966,0,ar,100,5,sg,dedup.arwiki-meta.words.unigrams.tsv,Wikipedia
unigram_freq,0,-3.45750343050374e-05,-0.000875485846706159,0,ar,100,6,cbow,dedup.ar.words.unigrams.tsv,Subtitles
unigram_freq,0,-4.6466626940169e-05,-0.000754055934103048,0,ar,100,6,cbow,dedup.arwiki-meta.words.unigrams.tsv,Wikipedia
unigram_freq,0,-1.92900855295005e-05,-0.000488450617686542,0,ar,100,6,sg,dedup.ar.words.unigrams.tsv,Subtitles
unigram_freq,0,-4.89868083030185e-05,-0.000794953193852921,0,ar,100,6,sg,dedup.arwiki-meta.words.unigrams.tsv,Wikipedia
unigram_freq,0,-7.59888083515892e-05,-0.00192413767786748,0,ar,200,1,cbow,dedup.ar.words.unigrams.tsv,Subtitles
unigram_freq,0,-0.000134971775522809,-0.00219030893721739,0,ar,200,1,cbow,dedup.arwiki-meta.words.unigrams.tsv,Wikipedia
unigram_freq,0,-6.44097466730934e-05,-0.0016309404382574,0,ar,200,1,sg,dedup.ar.words.unigrams.tsv,Subtitles
unigram_freq,0,-0.000100069257368758,-0.0016239142436002,0,ar,200,1,sg,dedup.arwiki-meta.words.unigrams.tsv,Wikipedia
unigram_freq,0,-7.40438022612396e-05,-0.00187488753717824,0,ar,200,2,cbow,dedup.ar.words.unigrams.tsv,Subtitles
unigram_freq,0,-0.000114853800645306,-0.00186383638395782,0,ar,200,2,cbow,dedup.arwiki-meta.words.unigrams.tsv,Wikipedia
unigram_freq,0,-6.37065472971642e-05,-0.00161313449493983,0,ar,200,2,sg,dedup.ar.words.unigrams.tsv,Subtitles
unigram_freq,0,-9.52797633683481e-05,-0.00154619079754481,0,ar,200,2,sg,dedup.arwiki-meta.words.unigrams.tsv,Wikipedia
unigram_freq,0,-8.53896248686702e-05,-0.00216217885334613,0,ar,200,3,cbow,dedup.ar.words.unigrams.tsv,Subtitles
unigram_freq,0,-0.000118476479451208,-0.00192262486573114,0,ar,200,3,cbow,dedup.arwiki-meta.words.unigrams.tsv,Wikipedia
unigram_freq,0,-5.53378246197148e-05,-0.00140122730796566,0,ar,200,3,sg,dedup.ar.words.unigrams.tsv,Subtitles
